sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     7.256e+13  0.04341    0.999827   1.929e+10  2.7742e-05 1.7881e-07
mb     7.262e+13  0.05205    0.999791   1.938e+10  9.6668e-05 7.7486e-07
n06    7.078e+13  -0.00707   0.999596   2.851e+11  2.6123e-04 4.2319e-06
n07    7.068e+13  -0.00013   0.999653   2.842e+11  2.1674e-04 4.1127e-06
n08    7.070e+13  0.02428    0.999797   2.844e+11  3.2993e-04 2.3842e-06
n09    7.074e+13  -0.01989   0.999512   2.847e+11  2.5518e-04 4.9472e-06
n10    7.077e+13  0.03572    0.999881   2.850e+11  1.8958e-04 2.7418e-06
n11    7.250e+13  0.05931    0.999940   2.992e+11  2.8819e-04 2.8014e-06
n12    7.061e+13  -0.22023   0.998277   2.838e+11  6.2793e-05 1.4603e-05
n14    7.264e+13  0.08449    1.000098   3.004e+11  2.0970e-04 2.2650e-06
n15    7.250e+13  -0.01298   0.999441   1.926e+10  2.5058e-05 3.5763e-07
n16    7.245e+13  -0.03481   0.999287   1.923e+10  4.9174e-05 2.9802e-07
n17    7.247e+13  0.01323    0.999607   1.924e+10  2.7069e-05 2.3842e-07
n18    7.257e+13  0.05004    0.999871   1.929e+10  2.8700e-05 1.7881e-07
n19    7.252e+13  -0.05216   0.999193   1.927e+10  2.5395e-05 4.7684e-07
tn     7.074e+13  0.00591    0.999669   2.848e+11  2.7465e-04 3.8147e-06
