sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.106e+13  0.04105    0.999866   1.564e+10  5.4538e-05 5.9605e-08
mb     2.110e+13  0.04450    0.999854   1.569e+10  5.9560e-05 5.9605e-08
n06    2.114e+13  0.05832    0.999805   1.807e+10  1.2012e-04 2.3842e-07
n07    2.114e+13  0.05067    0.999832   1.804e+10  6.9588e-05 5.9605e-08
n08    2.110e+13  0.05628    0.999812   1.799e+10  1.0586e-04 1.7881e-07
n09    2.111e+13  0.05688    0.999810   1.802e+10  1.0564e-04 1.7881e-07
n10    2.114e+13  0.05066    0.999832   1.792e+10  6.3494e-05 5.9605e-08
n11    2.110e+13  0.05024    0.999832   1.806e+10  8.9474e-05 1.7881e-07
n12    2.113e+13  0.05492    0.999817   1.804e+10  9.5416e-05 1.1921e-07
n14    2.111e+13  0.04990    0.999833   1.800e+10  6.8959e-05 1.1921e-07
n15    2.110e+13  0.04417    0.999855   1.579e+10  8.5734e-05 1.7881e-07
n16    2.106e+13  0.04249    0.999860   1.563e+10  1.1381e-04 2.9802e-07
n17    2.109e+13  0.04328    0.999858   1.565e+10  5.6624e-05 1.1921e-07
n18    2.112e+13  0.04149    0.999865   1.571e+10  5.3409e-05 1.1921e-07
n19    2.108e+13  0.04276    0.999860   1.569e+10  6.3714e-05 1.1921e-07
tn     2.113e+13  0.05670    0.999810   1.807e+10  1.0682e-04 2.3842e-07
