sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.150e+13  0.04382    0.999859   1.994e+10  8.1636e-05 1.7881e-07
mb     2.145e+13  0.05520    0.999819   1.986e+10  1.0820e-04 2.3842e-07
n06    2.154e+13  0.05488    0.999821   1.879e+10  1.3205e-04 2.9802e-07
n07    2.152e+13  0.05448    0.999823   1.875e+10  1.0805e-04 1.7881e-07
n08    2.153e+13  0.05151    0.999833   1.873e+10  1.0354e-04 2.3842e-07
n09    2.152e+13  0.05237    0.999830   1.875e+10  1.0427e-04 1.7881e-07
n10    2.151e+13  0.05005    0.999837   1.875e+10  1.4573e-04 3.5763e-07
n11    2.151e+13  0.05300    0.999826   1.892e+10  2.2455e-04 6.5565e-07
n12    2.149e+13  0.05678    0.999815   1.869e+10  1.1690e-04 2.3842e-07
n14    2.144e+13  0.05189    0.999832   1.867e+10  9.8940e-05 1.7881e-07
n15    2.148e+13  0.05295    0.999827   1.989e+10  1.4392e-04 2.9802e-07
n16    2.150e+13  0.05292    0.999827   1.961e+10  5.8845e-05 3.5763e-07
n17    2.148e+13  0.05601    0.999816   1.989e+10  1.0273e-04 1.7881e-07
n18    2.143e+13  0.04366    0.999859   1.981e+10  7.0050e-05 1.1921e-07
n19    2.148e+13  0.04259    0.999863   1.991e+10  8.4825e-05 1.1921e-07
tn     2.149e+13  0.05237    0.999829   1.891e+10  1.3071e-04 2.9802e-07
