sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.247e+13  0.04660    0.999857   1.989e+10  9.5099e-05 1.7881e-07
mb     2.242e+13  0.05539    0.999826   1.984e+10  1.3353e-04 2.9802e-07
n06    2.248e+13  0.05991    0.999812   2.431e+10  1.3027e-04 2.3842e-07
n07    2.249e+13  0.06175    0.999806   2.420e+10  1.8603e-04 4.1723e-07
n08    2.246e+13  0.06149    0.999807   2.417e+10  2.3079e-04 5.3644e-07
n09    2.249e+13  0.05192    0.999840   2.438e+10  5.7939e-05 0.0000e+00
n10    2.252e+13  0.06674    0.999790   2.424e+10  1.6994e-04 2.9802e-07
n11    2.249e+13  0.05393    0.999833   2.437e+10  1.2940e-04 2.3842e-07
n12    2.256e+13  0.06431    0.999800   2.463e+10  1.6148e-04 2.3842e-07
n14    2.249e+13  0.05501    0.999829   2.461e+10  2.0238e-04 4.7684e-07
n15    2.243e+13  0.05471    0.999828   1.979e+10  9.3050e-05 1.1921e-07
n16    2.250e+13  0.05558    0.999826   1.987e+10  1.8593e-04 4.1723e-07
n17    2.245e+13  0.05710    0.999822   2.005e+10  2.2328e-04 5.3644e-07
n18    2.251e+13  0.05489    0.999830   1.993e+10  1.1133e-04 2.3842e-07
n19    2.248e+13  0.04602    0.999859   1.989e+10  8.3935e-05 1.7881e-07
tn     2.247e+13  0.06141    0.999807   2.438e+10  1.3853e-04 1.7881e-07
