sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     7.986e+13  0.38452    0.998791   3.176e+10  2.3890e-04 2.9802e-07
mb     7.984e+13  0.33958    0.998477   3.175e+10  2.3365e-04 4.1723e-07
n06    7.945e+13  0.42933    0.998800   5.358e+10  4.7791e-04 4.7684e-07
n07    7.960e+13  0.50552    0.999182   5.379e+10  5.0020e-04 3.5763e-07
n08    7.967e+13  0.46414    0.998982   5.388e+10  5.0521e-04 3.5763e-07
n09    7.983e+13  0.39378    0.998674   5.409e+10  4.3085e-04 6.5565e-07
n10    7.984e+13  0.52318    0.999335   5.410e+10  5.5456e-04 0.0000e+00
n11    7.962e+13  0.07500    0.997479   5.388e+10  6.6295e-04 2.9802e-06
n12    7.957e+13  0.43819    0.998854   5.375e+10  5.0300e-04 2.9802e-07
n14    7.946e+13  0.48644    0.999150   5.361e+10  5.3227e-04 5.9605e-08
n15    7.964e+13  0.36541    0.998648   3.158e+10  2.2528e-04 4.1723e-07
n16    7.989e+13  0.33987    0.998506   3.181e+10  1.4055e-04 7.7486e-07
n17    7.968e+13  0.40986    0.998818   3.163e+10  2.4709e-04 4.1723e-07
n18    7.989e+13  0.33418    0.998540   3.179e+10  2.1335e-04 4.1723e-07
n19    7.976e+13  0.33452    0.998555   3.168e+10  2.0862e-04 4.1723e-07
tn     7.981e+13  0.47495    0.999014   5.405e+10  5.3060e-04 2.3842e-07
