sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     4.089e+13  0.17437    0.999938   1.477e+10  4.0203e-05 5.9605e-08
mb     4.087e+13  0.22454    0.999959   1.479e+10  3.0249e-05 5.9605e-08
n06    4.112e+13  0.26006    0.999984   7.081e+10  1.6859e-04 7.1526e-07
n07    4.099e+13  0.30950    1.000056   7.039e+10  4.0078e-04 1.7881e-06
n08    4.105e+13  0.29509    1.000014   7.063e+10  2.7463e-04 1.1921e-06
n09    4.104e+13  0.27528    1.000006   7.057e+10  2.1130e-04 9.5367e-07
n10    4.096e+13  0.21116    0.999912   7.025e+10  8.5697e-05 2.9802e-07
n11    4.091e+13  0.28189    1.000018   7.077e+10  2.0715e-03 3.4571e-06
n12    4.110e+13  0.29995    0.999984   7.078e+10  3.0518e-04 9.5367e-07
n14    4.080e+13  -0.01525   0.999652   6.941e+10  9.2216e-04 3.9339e-06
n15    4.091e+13  0.18663    0.999942   1.480e+10  5.6058e-05 5.9605e-08
n16    4.092e+13  0.05936    0.999792   1.465e+10  2.1367e-04 1.1921e-07
n17    4.100e+13  0.19017    0.999968   1.486e+10  4.2364e-05 5.9605e-08
n18    4.098e+13  0.18047    0.999955   1.484e+10  3.7834e-05 5.9605e-08
n19    4.090e+13  0.18559    0.999944   1.479e+10  3.7432e-05 5.9605e-08
tn     4.095e+13  0.24935    0.999945   7.022e+10  1.3606e-04 3.5763e-07
